fromTid,toTid
tt0052311,tt0048254
tt0052311,tt0033149
tt0052311,tt0039224
tt0052311,tt0022100
tt0052311,tt0036775
tt0052311,tt0045897
tt0052311,tt0038355
tt0052357,tt0047396
tt0052357,tt0105236
tt0052357,tt0044079
tt0052357,tt0058329
tt0052357,tt0046912
tt0052357,tt0032976
tt0052357,tt0037008
tt0052357,tt0040746
tt0052357,tt0108399
tt0052357,tt0090756
tt0052357,tt0048728
tt0052357,tt0114814
tt0052618,tt0056264
tt0052618,tt0375154
tt0052618,tt0120744
tt0052618,tt0245844
tt0052618,tt0056059
tt0052618,tt0108358
tt0052618,tt0049833
tt0052618,tt0073012
tt0052618,tt0066473
tt0052618,tt0054331
tt0052618,tt0058777
tt0052618,tt1186830
tt0053125,tt0443543
tt0053125,tt0058329
tt0053125,tt0032976
tt0053125,tt0324554
tt0053125,tt0125659
tt0053125,tt0073580
tt0053125,tt1139797
tt0053125,tt0101669
tt0053125,tt0206634
tt0053125,tt0073802
tt0053125,tt0049470
tt0053125,tt0387131
tt0053198,tt1235166
tt0053198,tt0053976
tt0053198,tt0317248
tt0053198,tt0057869
tt0053198,tt0040522
tt0053198,tt0054248
tt0053198,tt0061512
tt0053198,tt0042804
tt0053198,tt0060138
tt0053198,tt0070379
tt0053198,tt0072890
tt0053198,tt0113247
tt0053291,tt0063415
tt0053291,tt0063462
tt0053291,tt0055256
tt0053291,tt0795368
tt0053291,tt1605783
tt0053291,tt0066765
tt0053291,tt1045658
tt0053291,tt0079470
tt0053291,tt0084352
tt0053291,tt0050706
tt0053291,tt0218839
tt0053291,tt2334873
tt0053604,tt0021749
tt0053604,tt0095765
tt0053604,tt0061722
tt0053604,tt0027977
tt0053604,tt0098635
tt0053604,tt0046250
tt0053604,tt0075686
tt0053604,tt0054698
tt0053604,tt0301357
tt0053604,tt0032599
tt0053604,tt0091167
tt0053604,tt0079522
tt0053779,tt0046521
tt0053779,tt0102536
tt0053779,tt0023349
tt0053779,tt0081554
tt0053779,tt0069191
tt0053779,tt0097123
tt0053779,tt0088184
tt0053779,tt0071487
tt0053779,tt0011909
tt0053779,tt0032143
tt0053779,tt0071129
tt0053779,tt0245574
tt0054215,tt0048977
tt0054215,tt0073540
tt0054215,tt0105665
tt0054215,tt0069995
tt0054215,tt0098253
tt0054215,tt0085333
tt0054215,tt0161081
tt0054215,tt1077368
tt0054215,tt0265349
tt0054215,tt0235198
tt0054215,tt0365376
tt0054215,tt0116922
tt0054997,tt0035015
tt0054997,tt0055489
tt0054997,tt0048673
tt0054997,tt0075148
tt0054997,tt0018618
tt0054997,tt0016884
tt0054997,tt0090863
tt0054997,tt0126916
tt0054997,tt0020439
tt0054997,tt0012952
tt0054997,tt0011841
tt0054997,tt0012675
tt0055031,tt1504320
tt0055031,tt0045943
tt0055031,tt0469494
tt0055031,tt0115988
tt0055031,tt0026752
tt0055031,tt0080678
tt0055031,tt0870111
tt0055031,tt0323944
tt0055031,tt0063227
tt0055031,tt0433383
tt0055031,tt0053946
tt0055031,tt0110932
tt0055630,tt0092263
tt0055630,tt0328107
tt0055630,tt0108188
tt0055630,tt0070034
tt0055630,tt0372784
tt0055630,tt0097202
tt0055630,tt0104815
tt0055630,tt0098360
tt0055630,tt1555149
tt0055630,tt0079116
tt0055630,tt0104684
tt0055630,tt0399146
tt0056172,tt0082432
tt0056172,tt0050212
tt0056172,tt0363163
tt0056172,tt0034167
tt0056172,tt0052738
tt0056172,tt0120102
tt0056172,tt0892255
tt0056172,tt0036910
tt0056172,tt0060107
tt0056172,tt0119485
tt0056172,tt0443272
tt0056172,tt0108052
tt0056592,tt0071315
tt0056592,tt0120689
tt0056592,tt0842929
tt0056592,tt0051201
tt0056592,tt0052561
tt0056592,tt0042876
tt0056592,tt0112688
tt0056592,tt0393109
tt0056592,tt0407887
tt0056592,tt0057254
tt0056592,tt0119488
tt0056592,tt0119448
tt0056801,tt0443455
tt0056801,tt0074147
tt0056801,tt0021331
tt0056801,tt0064940
tt0056801,tt0478304
tt0056801,tt0067445
tt0056801,tt0100998
tt0056801,tt0110148
tt0056801,tt0059643
tt0056801,tt0050976
tt0056801,tt0120669
tt0056801,tt1212419
tt0057012,tt0102536
tt0057012,tt0128445
tt0057012,tt0088184
tt0057012,tt0427944
tt0057012,tt0071129
tt0057012,tt0367089
tt0057012,tt0265666
tt0057012,tt1033575
tt0057012,tt0340377
tt0057012,tt0078841
tt0057012,tt1306980
tt0057012,tt0245574
tt0057115,tt0065207
tt0057115,tt0050356
tt0057115,tt0060588
tt0057115,tt1020558
tt0057115,tt0075784
tt0057115,tt1034303
tt0057115,tt0325710
tt0057115,tt0056197
tt0057115,tt0082096
tt0057115,tt0066473
tt0057115,tt0058777
tt0057115,tt0395169
tt0058461,tt0061576
tt0058461,tt0100994
tt0058461,tt0065214
tt0058461,tt0059578
tt0058461,tt0066831
tt0058461,tt0062472
tt0058461,tt0060862
tt0058461,tt0906665
tt0058461,tt0064116
tt0058461,tt0062151
tt0058461,tt0064208
tt0058461,tt0089767
tt0058946,tt0078875
tt0058946,tt1124052
tt0058946,tt0498380
tt0058946,tt0080310
tt0058946,tt0460989
tt0058946,tt0280491
tt0058946,tt0107007
tt0058946,tt0015648
tt0058946,tt0087553
tt0058946,tt0080979
tt0058946,tt0097441
tt0058946,tt0053114
tt0059578,tt0043137
tt0059578,tt0063501
tt0059578,tt0050468
tt0059578,tt0068768
tt0059578,tt0061709
tt0059578,tt0064916
tt0059578,tt0044953
tt0059578,tt0060315
tt0059578,tt0061429
tt0059578,tt0064116
tt0059578,tt0040369
tt0059578,tt0059740
tt0060196,tt0061636
tt0060196,tt0054047
tt0060196,tt0049730
tt0060196,tt0065126
tt0060196,tt0040724
tt0060196,tt0067140
tt0060196,tt0069436
tt0060196,tt0047647
tt0060196,tt0061619
tt0060196,tt0059578
tt0060196,tt0064116
tt0060196,tt0099348
tt0060827,tt0063611
tt0060827,tt0077711
tt0060827,tt0064793
tt0060827,tt0091670
tt0060827,tt0057358
tt0060827,tt0087884
tt0060827,tt0055499
tt0060827,tt0054130
tt0060827,tt0050986
tt0060827,tt0057611
tt0060827,tt0061395
tt0060827,tt0086022
tt0061184,tt0022054
tt0061184,tt0019788
tt0061184,tt0012532
tt0061184,tt0019344
tt0061184,tt0022834
tt0061184,tt0044081
tt0061184,tt0020298
tt0061184,tt0012763
tt0061184,tt0012938
tt0061184,tt0051459
tt0061184,tt0047528
tt0061184,tt0042192
tt0061512,tt0117951
tt0061512,tt0101507
tt0061512,tt0120586
tt0061512,tt0317248
tt0061512,tt0307901
tt0061512,tt0111161
tt0061512,tt0072890
tt0061512,tt0106489
tt0061512,tt0243133
tt0061512,tt0070379
tt0061512,tt0765429
tt0061512,tt0113247
tt0061722,tt0098635
tt0061722,tt0053604
tt0061722,tt0069704
tt0061722,tt0084805
tt0061722,tt0095765
tt0061722,tt0075686
tt0061722,tt0250478
tt0061722,tt0301357
tt0061722,tt0115640
tt0061722,tt0091167
tt0061722,tt0079522
tt0061722,tt0054698
tt0062622,tt0017136
tt0062622,tt0079945
tt0062622,tt0069293
tt0062622,tt0086837
tt0062622,tt0206634
tt0062622,tt0049223
tt0062622,tt0079944
tt0062622,tt0063442
tt0062622,tt1182345
tt0062622,tt0060397
tt0062622,tt0114746
tt0062622,tt0075860
tt0064115,tt0381849
tt0064115,tt0419294
tt0064115,tt0071249
tt0064115,tt0049730
tt0064115,tt0102744
tt0064115,tt0065126
tt0064115,tt0061512
tt0064115,tt0421238
tt0064115,tt0040897
tt0064115,tt0036244
tt0064115,tt0099348
tt0064115,tt0257044
tt0064116,tt0061429
tt0064116,tt0063501
tt0064116,tt0050468
tt0064116,tt0068768
tt0064116,tt0061709
tt0064116,tt0064916
