filename,tid,title,wordsInTitle,url,imdbRating,ratingCount,duration,year,type,nrOfWins,nrOfNominations,nrOfPhotos,nrOfNewsArticles,nrOfUserReviews,nrOfGenre,meanGenre,sdGenre,minGenre,maxGenre
titles01/tt0266543,tt0266543,Findet Nemo (2003),findet nemo,http://www.imdb.com/title/tt0266543/,8.2,451631,6000,2003,video.movie,37,37,92,2563,804,3,2492.66667,1571.28490,900,4631
titles01/tt0266697,tt0266697,Kill Bill: Vol. 1 (2003),kill bill vol,http://www.imdb.com/title/tt0266697/,8.2,509895,6660,2003,video.movie,16,43,97,3019,2044,2,2087.50000,79.50000,2008,2167
titles01/tt0325980,tt0325980,Fluch der Karibik (2003),fluch der karibik,http://www.imdb.com/title/tt0325980/,8.1,572501,8580,2003,video.movie,28,71,125,429,2072,3,1707.66667,502.12969,1009,2167
titles01/tt0060196,tt0060196,Zwei glorreiche Halunken (1966),zwei glorreiche halunken,http://www.imdb.com/title/tt0060196/,9,354997,9660,1966,video.movie,1,0,189,11,684,2,1165.50000,781.50000,384,1947
titles01/tt0050083,tt0050083,Die zwölf Geschworenen (1957),die zw lf geschworenen,http://www.imdb.com/title/tt0050083/,8.9,293725,5760,1957,video.movie,16,6,31,68,726,1,6361.00000,0.00000,6361,6361
titles01/tt0047478,tt0047478,Die sieben Samurai (1954),die sieben samurai,http://www.imdb.com/title/tt0047478/,8.8,172690,12420,1954,video.movie,4,5,33,576,548,2,4264.00000,2097.00000,2167,6361
titles03/index.html.2715,tt0120338,Titanic (1997),titanic,http://www.imdb.com/title/tt0120338/,7.7,568769,11640,1997,video.movie,86,51,197,5208,2450,2,4168.50000,2192.50000,1976,6361
titles01/tt0405094,tt0405094,Das Leben der Anderen (2006),das leben der anderen,http://www.imdb.com/title/tt0405094/,8.5,185524,8220,2006,video.movie,66,25,25,402,371,2,4183.00000,2178.00000,2005,6361
titles01/tt0435761,tt0435761,Toy Story 3 (2010),toy story,http://www.imdb.com/title/tt0435761/,8.5,356405,6180,2010,video.movie,36,44,97,5842,657,3,2492.66667,1571.28490,900,4631
titles01/tt0457430,tt0457430,Pans Labyrinth (2006),pans labyrinth,http://www.imdb.com/title/tt0457430/,8.3,339845,7080,2006,video.movie,76,63,50,81,1025,3,2701.33333,2590.20930,734,6361
titles01/tt0993846,tt0993846,The Wolf of Wall Street (2013),the wolf of wall street,http://www.imdb.com/title/tt0993846/,8.4,285401,10800,2013,video.movie,17,62,73,3597,779,3,2441.33333,1639.82973,685,4631
titles01/tt1049413,tt1049413,Oben (2009),oben,http://www.imdb.com/title/tt1049413/,8.3,425870,5760,2009,video.movie,53,37,68,2379,644,3,3069.33333,2366.48182,900,6361
titles01/tt1187043,tt1187043,3 Idiots (2009),idiots,http://www.imdb.com/title/tt1187043/,8.5,103975,10200,2009,video.movie,20,13,20,10,267,3,4322.66667,1803.39649,1976,6361
titles01/tt1291584,tt1291584,Warrior (2011),warrior,http://www.imdb.com/title/tt1291584/,8.3,220357,8400,2011,video.movie,2,10,44,1903,432,2,3309.00000,3052.00000,257,6361
titles01/tt1305806,tt1305806,In ihren Augen (2009),in ihren augen,http://www.imdb.com/title/tt1305806/,8.3,82183,7740,2009,video.movie,48,34,11,514,197,3,3195.00000,2261.57998,1219,6361
titles01/tt1675434,tt1675434,Ziemlich beste Freunde (2011),ziemlich beste freunde,http://www.imdb.com/title/tt1675434/,8.6,286016,6720,2011,video.movie,25,31,18,457,245,3,3892.33333,2375.35476,685,6361
titles01/tt1798709,tt1798709,Her (2013),her,http://www.imdb.com/title/tt1798709/,8.3,98365,7560,2013,video.movie,42,58,63,2297,389,2,4168.50000,2192.50000,1976,6361
titles01/tt1832382,tt1832382,Nader und Simin - eine Trennung (2011),nader und simin eine trennung,http://www.imdb.com/title/tt1832382/,8.5,105123,7380,2011,video.movie,60,23,16,39,230,1,6361.00000,0.00000,6361,6361
titles01/tt1979320,tt1979320,Rush - Alles für den Sieg (2013),rush alles f r den sieg,http://www.imdb.com/title/tt1979320/,8.3,142959,7380,2013,video.movie,4,33,51,1573,352,3,3071.00000,2403.76871,685,6361
titles01/tt2024544,tt2024544,12 Years a Slave (2013),years a slave,http://www.imdb.com/title/tt2024544/,8.3,161237,8040,2013,video.movie,131,137,88,351,455,3,2563.00000,2685.64629,643,6361
titles01/tt2106476,tt2106476,Die Jagd (2012),die jagd,http://www.imdb.com/title/tt2106476/,8.3,80966,6900,2012,video.movie,29,37,27,220,163,1,6361.00000,0.00000,6361,6361
titles01/tt0113277,tt0113277,Heat (1995),heat,http://www.imdb.com/title/tt0113277/,8.3,324264,10200,1995,video.movie,0,0,64,1030,841,3,3512.00000,2015.59272,2008,6361
titles01/tt0114709,tt0114709,Toy Story (1995),toy story,http://www.imdb.com/title/tt0114709/,8.3,410650,4860,1995,video.movie,19,13,121,5068,311,3,2492.66667,1571.28490,900,4631
titles01/tt0118799,tt0118799,Das Leben ist schön (1997),das leben ist sch n,http://www.imdb.com/title/tt0118799/,8.6,266261,6960,1997,video.movie,56,31,56,98,972,3,4322.66667,1803.39649,1976,6361
titles01/tt0119488,tt0119488,L.A. Confidential (1997),l a confidential,http://www.imdb.com/title/tt0119488/,8.3,319796,8280,1997,video.movie,78,48,59,82,591,3,3196.00000,2261.05418,1219,6361
titles01/tt0119698,tt0119698,Prinzessin Mononoke (1997),prinzessin mononoke,http://www.imdb.com/title/tt0119698/,8.5,150101,8040,1997,video.movie,11,5,49,297,516,3,1285.33333,469.98038,900,1947
titles01/tt0180093,tt0180093,Requiem for a Dream (2000),requiem for a dream,http://www.imdb.com/title/tt0180093/,8.4,413539,6120,2000,video.movie,27,36,134,918,1842,1,6361.00000,0.00000,6361,6361
titles01/tt0208092,tt0208092,Snatch - Schweine und Diamanten (2000),snatch schweine und diamanten,http://www.imdb.com/title/tt0208092/,8.4,432193,6240,2000,video.movie,4,5,132,902,696,2,3319.50000,1311.50000,2008,4631
titles01/tt0211915,tt0211915,Die fabelhafte Welt der Amelie (2001),die fabelhafte welt der amelie,http://www.imdb.com/title/tt0211915/,8.5,380600,7320,2001,video.movie,54,50,57,359,1255,2,3303.50000,1327.50000,1976,4631
titles01/tt0245429,tt0245429,Chihiros Reise ins Zauberland (2001),chihiros reise ins zauberland,http://www.imdb.com/title/tt0245429/,8.6,273502,7500,2001,video.movie,35,19,33,621,788,3,1306.33333,458.42944,900,1947
titles01/tt0253474,tt0253474,Der Pianist (2002),der pianist,http://www.imdb.com/title/tt0253474/,8.5,331248,9000,2002,video.movie,49,47,74,700,718,3,2593.33333,2664.21775,685,6361
titles01/tt0317248,tt0317248,City of God (2002),city of god,http://www.imdb.com/title/tt0317248/,8.7,386540,7800,2002,video.movie,57,26,27,528,681,2,4184.50000,2176.50000,2008,6361
titles01/tt0363163,tt0363163,Der Untergang (2004),der untergang,http://www.imdb.com/title/tt0363163/,8.3,184234,9360,2004,video.movie,18,17,16,432,532,3,2563.00000,2685.64629,643,6361
titles01/tt0364569,tt0364569,Oldboy (2003),oldboy,http://www.imdb.com/title/tt0364569/,8.4,245394,7200,2003,video.movie,18,11,19,121,742,3,3195.00000,2261.57998,1219,6361
titles01/tt0090605,tt0090605,Aliens - Die Rückkehr (1986),aliens die r ckkehr,http://www.imdb.com/title/tt0090605/,8.5,353899,8220,1986,video.movie,16,21,95,2150,998,2,2057.00000,110.00000,1947,2167
titles01/tt0093058,tt0093058,Full Metal Jacket (1987),full metal jacket,http://www.imdb.com/title/tt0093058/,8.4,334586,6960,1987,video.movie,7,7,53,621,621,2,3547.50000,2813.50000,734,6361
titles01/tt0095016,tt0095016,Stirb langsam (1988),stirb langsam,http://www.imdb.com/title/tt0095016/,8.3,431906,7860,1988,video.movie,6,2,63,2360,667,2,2086.00000,81.00000,2005,2167
titles01/tt0095327,tt0095327,Die letzten Leuchtkäfer (1988),die letzten leuchtk fer,http://www.imdb.com/title/tt0095327/,8.5,85046,5340,1988,video.movie,3,0,16,156,436,3,2665.00000,2614.34517,734,6361
titles01/tt0095765,tt0095765,Cinema Paradiso (1988),cinema paradiso,http://www.imdb.com/title/tt0095765/,8.5,103093,9300,1988,video.movie,19,22,60,215,357,1,6361.00000,0.00000,6361,6361
titles01/tt0096283,tt0096283,Mein Nachbar Totoro (1988),mein nachbar totoro,http://www.imdb.com/title/tt0096283/,8.3,101445,5160,1988,video.movie,5,1,39,330,273,3,993.66667,71.05084,900,1072
titles01/tt0097576,tt0097576,Indiana Jones und der letzte Kreuzzug (1989),indiana jones und der letzte kreuzzug,http://www.imdb.com/title/tt0097576/,8.3,364585,7620,1989,video.movie,4,19,66,362,440,2,2057.00000,110.00000,1947,2167
titles01/tt0105695,tt0105695,Erbarmungslos (1992),erbarmungslos,http://www.imdb.com/title/tt0105695/,8.3,205938,7860,1992,video.movie,40,20,67,568,453,1,384.00000,0.00000,384,384
titles01/tt0110357,tt0110357,Der König der Löwen (1994),der k nig der l wen,http://www.imdb.com/title/tt0110357/,8.5,408078,5340,1994,video.movie,25,22,111,2908,542,3,3069.33333,2366.48182,900,6361
titles01/tt0071853,tt0071853,Die Ritter der Kokosnuß (1975),die ritter der kokosnu,http://www.imdb.com/title/tt0071853/,8.4,284563,5460,1975,video.movie,0,0,48,260,613,3,2529.00000,1534.87546,1009,4631
titles01/tt0075314,tt0075314,Taxi Driver (1976),taxi driver,http://www.imdb.com/title/tt0075314/,8.4,351181,6780,1976,video.movie,26,9,80,1830,768,2,4184.50000,2176.50000,2008,6361
titles01/tt0078748,tt0078748,Alien - Das unheimliche Wesen aus einer fremden Welt (1979),alien das unheimliche wesen aus einer fremden welt,http://www.imdb.com/title/tt0078748/,8.5,391737,7020,1979,video.movie,12,18,126,5671,991,1,704.00000,0.00000,704,704
titles01/tt0078788,tt0078788,Apocalypse Now (1979),apocalypse now,http://www.imdb.com/title/tt0078788/,8.5,333178,9180,1979,video.movie,17,30,76,1356,896,2,3547.50000,2813.50000,734,6361
titles01/tt0080678,tt0080678,Der Elefantenmensch (1980),der elefantenmensch,http://www.imdb.com/title/tt0080678/,8.3,120156,7440,1980,video.movie,10,13,36,242,325,2,3523.00000,2838.00000,685,6361
titles01/tt0081398,tt0081398,Wie ein wilder Stier (1980),wie ein wilder stier,http://www.imdb.com/title/tt0081398/,8.3,172854,7740,1980,video.movie,26,19,51,1478,454,3,2434.33333,2782.06510,257,6361
titles01/tt0081505,tt0081505,Shining (1980),shining,http://www.imdb.com/title/tt0081505/,8.5,418163,8640,1980,video.movie,2,5,16,1528,1208,1,704.00000,0.00000,704,704
titles01/tt0082096,tt0082096,Das Boot (1981),das boot,http://www.imdb.com/title/tt0082096/,8.5,127022,8940,1981,video.movie,13,5,94,67,397,3,3491.66667,2030.91200,1947,6361
titles01/tt0083658,tt0083658,Der Blade Runner (1982),der blade runner,http://www.imdb.com/title/tt0083658/,8.3,350268,7020,1982,video.movie,10,15,104,4395,1072,2,4183.00000,2178.00000,2005,6361
titles01/tt0086250,tt0086250,Scarface - Toni\, das Narbengesicht (1983),scarface toni das narbengesicht,http://www.imdb.com/title/tt0086250/,8.3,379114,10200,1983,video.movie,0,3,134,985,777,2,4184.50000,2176.50000,2008,6361
titles01/tt0086879,tt0086879,Amadeus (1984),amadeus,http://www.imdb.com/title/tt0086879/,8.4,198201,9600,1984,video.movie,33,13,66,242,500,3,2503.00000,2729.52304,463,6361
titles01/tt0087843,tt0087843,Es war einmal in Amerika (1984),es war einmal in amerika,http://www.imdb.com/title/tt0087843/,8.4,159607,13740,1984,video.movie,13,4,49,187,461,2,4184.50000,2176.50000,2008,6361
titles01/tt0059578,tt0059578,Für ein paar Dollar mehr (1965),f r ein paar dollar mehr,http://www.imdb.com/title/tt0059578/,8.4,104305,7920,1965,video.movie,0,0,56,102,201,1,384.00000,0.00000,384,384
titles01/tt0062622,tt0062622,2001: Odyssee im Weltraum (1968),odyssee im weltraum,http://www.imdb.com/title/tt0062622/,8.3,295641,9600,1968,video.movie,12,6,174,28,1568,2,1583.00000,364.00000,1219,1947
titles01/tt0064116,tt0064116,Spiel mir das Lied vom Tod (1968),spiel mir das lied vom tod,http://www.imdb.com/title/tt0064116/,8.7,158065,10500,1968,video.movie,5,4,61,277,518,1,384.00000,0.00000,384,384
titles01/tt0066921,tt0066921,Uhrwerk Orange (1971),uhrwerk orange,http://www.imdb.com/title/tt0066921/,8.4,386962,8160,1971,video.movie,11,13,80,1076,1250,2,4184.50000,2176.50000,2008,6361
titles01/tt0070735,tt0070735,Der Clou (1973),der clou,http://www.imdb.com/title/tt0070735/,8.4,127640,7740,1973,video.movie,10,6,67,275,224,3,4333.33333,1789.52626,2008,6361
titles01/tt0071315,tt0071315,Chinatown (1974),chinatown,http://www.imdb.com/title/tt0071315/,8.3,159935,7800,1974,video.movie,20,22,73,547,412,3,3195.00000,2261.57998,1219,6361
titles01/tt0050212,tt0050212,Die Brücke am Kwai (1957),die br cke am kwai,http://www.imdb.com/title/tt0050212/,8.3,109972,9660,1957,video.movie,24,5,59,160,243,3,3014.00000,2417.93976,734,6361
titles01/tt0050825,tt0050825,Wege zum Ruhm (1957),wege zum ruhm,http://www.imdb.com/title/tt0050825/,8.5,84945,5280,1957,video.movie,3,2,26,208,313,2,3547.50000,2813.50000,734,6361
titles01/tt0050976,tt0050976,Das siebente Siegel (1957),das siebente siegel,http://www.imdb.com/title/tt0050976/,8.3,80684,5760,1957,video.movie,7,1,28,193,236,2,3685.00000,2676.00000,1009,6361
titles01/tt0052357,tt0052357,Vertigo - Aus dem Reich der Toten (1958),vertigo aus dem reich der toten,http://www.imdb.com/title/tt0052357/,8.5,176267,7680,1958,video.movie,6,3,106,671,618,3,1733.33333,363.88124,1219,2005
titles01/tt0053125,tt0053125,Der unsichtbare Dritte (1959),der unsichtbare dritte,http://www.imdb.com/title/tt0053125/,8.5,166029,8160,1959,video.movie,7,4,85,644,466,3,1777.66667,405.11836,1219,2167
titles01/tt0053291,tt0053291,Manche mögen's heiß (1959),manche m gen s hei,http://www.imdb.com/title/tt0053291/,8.4,129721,7200,1959,video.movie,12,8,96,546,329,1,4631.00000,0.00000,4631,4631
titles01/tt0053604,tt0053604,Das Appartement (1960),das appartement,http://www.imdb.com/title/tt0053604/,8.4,77601,7500,1960,video.movie,18,8,36,211,221,3,4322.66667,1803.39649,1976,6361
titles01/tt0054215,tt0054215,Psycho (1960),psycho,http://www.imdb.com/title/tt0054215/,8.6,296676,6540,1960,video.movie,6,5,156,2059,885,3,1309.33333,534.95815,704,2005
titles01/tt0056172,tt0056172,Lawrence von Arabien (1962),lawrence von arabien,http://www.imdb.com/title/tt0056172/,8.4,140727,12960,1962,video.movie,20,13,91,929,509,3,2997.66667,2433.40219,685,6361
titles01/tt0056592,tt0056592,Wer die Nachtigall stört (1962),wer die nachtigall st rt,http://www.imdb.com/title/tt0056592/,8.4,154978,7740,1962,video.movie,12,12,49,524,407,3,3196.00000,2261.05418,1219,6361
titles01/tt0057012,tt0057012,Dr. Seltsam\, oder wie ich lernte\, die Bombe zu lieben (1964),dr seltsam oder wie ich lernte die bombe zu lieben,http://www.imdb.com/title/tt0057012/,8.6,263157,5700,1964,video.movie,13,4,56,432,782,2,2682.50000,1948.50000,734,4631
titles01/tt0057115,tt0057115,Gesprengte Ketten (1963),gesprengte ketten,http://www.imdb.com/title/tt0057115/,8.3,120161,10320,1963,video.movie,4,4,164,309,285,3,2983.66667,2446.75150,643,6361
titles01/tt0038650,tt0038650,It's a Wonderful Life (1946),it s a wonderful life,http://www.imdb.com/title/tt0038650/,8.7,197764,7800,1946,video.movie,6,0,65,531,626,3,2814.00000,2508.23962,1009,6361
titles01/tt0040522,tt0040522,Fahrraddiebe (1948),fahrraddiebe,http://www.imdb.com/title/tt0040522/,8.4,63797,5280,1948,video.movie,17,0,17,239,202,1,6361.00000,0.00000,6361,6361
titles01/tt0041959,tt0041959,Der dritte Mann (1949),der dritte mann,http://www.imdb.com/title/tt0041959/,8.4,85964,6240,1949,video.movie,3,4,62,338,364,2,1612.00000,393.00000,1219,2005
titles01/tt0042192,tt0042192,Alles über Eva (1950),alles ber eva,http://www.imdb.com/title/tt0042192/,8.4,61738,8280,1950,video.movie,15,15,42,253,276,1,6361.00000,0.00000,6361,6361
